Id,SalePrice
1461,123469.40901667501
1462,153425.4449485617
1463,179119.0346851427
1464,183741.04001369892
1465,194251.9763909758
1466,182389.48538548825
1467,168850.05614111503
1468,175164.61809760125
1469,180703.6186952825
1470,122360.26314185098
1471,206304.9948245397
1472,92970.54626411005
1473,96388.10195892808
1474,153360.7595886677
1475,128618.38609809655
1476,368513.83874482766
1477,248458.8629183509
1478,302143.4878465924
1479,259033.23212435294
1480,463069.3254346817
1481,308696.67798073223
1482,204548.06291765367
1483,178072.71659018955
1484,173116.1567669814
1485,174078.84998341024
1486,197826.26957565776
1487,309068.2390971711
1488,233029.3982349917
1489,208311.3626546548
1490,204654.50784308632
1491,190744.80582009806
1492,95581.64510564742
1493,176623.53697812883
1494,294620.0164796167
1495,288255.7080579327
1496,230110.3602404317
1497,186603.83723165098
1498,153239.7059367556
1499,152467.25048876254
1500,159491.8034149007
1501,172655.22214986914
1502,157139.0866646216
1503,277406.0977921484
1504,230394.16243558956
1505,215606.1267942139
1506,173570.061025409
1507,231424.2555464038
1508,195344.68390980072
1509,162023.29583417848
1510,150905.95489141645
1511,149412.9002008005
1512,165252.81722413513
1513,139751.18488705574
1514,149481.6031850863
1515,187373.33457196926
1516,158367.76837337916
1517,151164.76161978758
1518,129674.85205378047
1519,223065.48565692292
1520,139815.43451891854
1521,145196.52804846136
1522,161025.91368717217
1523,115659.35630395447
1524,122434.00509560767
1525,125024.06825025771
1526,126133.79207199626
1527,103549.60462467752
1528,127241.45812725305
1529,141534.5511307188
1530,167221.24308701808
1531,128550.28789982248
1532,104234.7252273321
1533,140996.13215975015
1534,116321.75101013682
1535,149283.25892495865
1536,117064.25975606842
1537,82332.61627933141
1538,159532.3624162776
1539,207337.42674152087
1540,110227.62614555363
1541,142822.3837931877
1542,137321.02618123443
1543,193841.77803371684
1544,84318.80902395185
1545,100029.16058093689
1546,123188.31309305412
1547,134746.52230124566
1548,128007.35900559579
1549,111847.05671741988
1550,140382.43113654043
1551,118282.12133736968
1552,138941.79427208455
1553,138615.4914025261
1554,111630.42163251196
1555,168656.11583881106
1556,94614.85757908992
1557,112571.95716866612
1558,88635.96759543367
1559,101848.10644073396
1560,147296.96477810238
1561,132072.6304629713
1562,126108.43719316658
1563,125273.710907962
1564,160179.07447976965
1565,155825.34189803334
1566,226454.63730313163
1567,81395.34787723803
1568,221895.14630518315
1569,142186.30814053307
1570,134620.9362306854
1571,127343.83786313418
1572,144703.24858881536
1573,236732.52454277326
1574,117274.53797906842
1575,215804.17384037093
1576,221554.45374194242
1577,204383.32224300437
1578,141391.44376401667
1579,143584.76504429072
1580,189199.719490745
1581,141935.19103239884
1582,128241.3460255909
1583,324803.7014035378
1584,237659.25071808204
1585,140017.46566513585
1586,73394.7375335074
1587,106014.511070251
1588,150692.3604724443
1589,100500.48230435047
1590,131122.13939865562
1591,105753.06882424645
1592,121792.83878254081
1593,116387.85828200144
1594,120537.67918322854
1595,120050.24074811474
1596,226265.89962479295
1597,159692.21883241192
1598,187947.91208076128
1599,183889.41854490334
1600,184865.59073427174
1601,73524.51255102543
1602,109333.33186679886
1603,88941.48328594609
1604,280793.66022914933
1605,247341.86064184853
1606,168704.5094427641
1607,156020.40921303822
1608,215744.62097734326
1609,196948.88535423492
1610,162232.64317653872
1611,152423.36387189786
1612,173112.98536961066
1613,168151.12766221885
1614,120077.86384669109
1615,85604.69911455859
1616,82143.9291430205
1617,86439.01834276502
1618,126213.13253622579
1619,132617.34249552732
1620,156184.8192244713
1621,139365.63198262695
1622,146546.78729521792
1623,279535.6049851877
1624,218040.7417408792
1625,124887.90032238903
1626,169428.9791558003
1627,184880.1834723081
1628,271468.09623852256
1629,177325.3573045148
1630,323902.7025454869
1631,203766.69147843882
1632,248681.81220828387
1633,170770.800484633
1634,183842.08263599867
1635,178699.58416810748
1636,161256.43166168884
1637,180132.1295520624
1638,206025.24449890538
1639,178698.2795772886
1640,245968.8108674356
1641,179158.1163486058
1642,223135.95310803974
1643,227550.48266330565
1644,226128.88700325586
1645,179860.2897920761
1646,155888.82645419805
1647,161637.82791185583
1648,138885.23781030512
1649,139327.67584754952
1650,121472.76121278583
1651,122998.53801880934
1652,92937.34499553073
1653,97069.0861160798
1654,155384.98091417892
1655,147362.42940257688
1656,150214.84955080925
1657,154615.5246903825
1658,156983.75108881367
1659,134593.96657706486
1660,151268.25504494953
1661,439292.46062338207
1662,366144.30802303617
1663,366799.48038187175
1664,431493.8829608167
1665,310171.2929303716
1666,326718.50070347404
1667,348127.15913472866
1668,326613.66980285774
1669,298960.53653435985
1670,338346.6331205997
1671,260759.15930479905
1672,466939.4568444908
1673,298306.09473416116
1674,250285.27622070635
1675,192334.1514097849
1676,192357.8638611067
1677,214382.2011673393
1678,459231.5933354642
1679,381128.75756036217
1680,311459.9829454883
1681,247722.95958684193
1682,304856.7190572995
1683,187400.5340185322
1684,173221.53778350778
1685,174905.343112498
1686,169178.491203626
1687,169353.7061389775
1688,188123.49197643765
1689,189588.16801305852
1690,182415.99400523352
1691,175817.35312664637
